,StartDate,EndDate,How masculine do you feel?,How important is it to you that others see you as masculine?,Where have you gotten ideas about what it means to be a good man?- Father or father figure(s),Mother or Mother figure(s),Other family members,Pop culture,Friends,Other,Does society puts pressure on men?,Ask for - Professional Advice?,Personal advice?,Express physical affection to male friends?,Cry?,Get in a physical fight?,Have sexual relations (women)?,Have sexual relations (men)?,Watch sports?,Workout?,See a therapist?,Feel lonely or isolated?,Worried about your - Height,Weight,Hair or Hairline,Physique,Appearance of genitalia,Clothing or style,Sexual performance or amount of sex,Mental health,Physical health,Finances,Ability to provide your family,None of the above,Employment Status,Advantages as a man - more money?,taken more seriously,more choice,More promotion/prof. development opportunities,Praised often,More support from their managers,Other-A,None of the above-A,Disadvantages to be a man- Managers want more women?,Risk of being accussed sexually,Risk of being sexist/racist,Other-B,None of the above-B,Response on sexual harrassment incident- Confronted or accussed the person,Contacted the HR department,Contacted the manager,Reached out to the victim,Didn't respond at all,Never witnessed,Other-C,Reason you didn't respond,If employed- how much have you heard of #MeToo movement?,If heard of #MeToo- Noticed any behavioural change at work?,Expected to make the first move?,How often you try to pays on a date?,Reason - It's the right thing to do,Makes more money than your date,Feels good,Societal expectations,"You asked the person out, that's why",Try to pay & see if she/he pays,Other-D,Physical intimation- Read their physical body language,Ask for consent,Make a physical move to see how they react,Every situation is different,Isn't clear to gauge,Other-E,What you've done in past 12 yrs?- pushing partner too far in sexual encounter,Talked with friends whether you pushed a partner too far,contacted a past sexual partner to ask,None of the above-C,Have you changed your behaviour in romantic relationships in the wake of #MeToo movement?,Maritial Status,"Any children?- Yes, one or more, under 18","Yes, one or more children, 18+",No children,Sexual orientation,Are you?,Last grade of school,State,Annual Income,Region,Current operating system,Age group
1,5/10/18 4:01,5/10/18 4:06,Somewhat masculine,Somewhat important,Not selected,Not selected,Not selected,Pop culture,Not selected,Not selected,Yes,Often,Often,Often,Often,"Never, and not open to it","Never, and not open to it",Often,Sometimes,Sometimes,"Never, and not open to it",Often,Not selected,Not selected,Your hair or hairline,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,"Not employed, NOT looking for work",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Sometimes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Never married,Not selected,Not selected,No children,Gay,Hispanic,College graduate,New York,"$0-$9,999",Middle Atlantic,Windows Desktop / Laptop,35 - 64
2,5/10/18 6:30,5/10/18 6:53,Somewhat masculine,Somewhat important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Rarely,Sometimes,"Never, but open to it",Rarely,"Never, and not open to it",Rarely,"Never, and not open to it",Often,"Never, and not open to it",Sometimes,No answer,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Your mental health,Your physical health,Not selected,Not selected,Not selected,Not employed-retired,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not selected,Rarely,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),Not selected,Not selected,Not selected,None of the above,Not selected,Widowed,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Some college,Ohio,"$50,000-$74,999",East North Central,iOS Phone / Tablet,65 and up
3,5/10/18 7:02,5/10/18 7:09,Very masculine,Not too important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Other (please specify),Not selected,Sometimes,Sometimes,Sometimes,Rarely,"Never, but open to it",Often,"Never, and not open to it",Rarely,Sometimes,Rarely,"Never, and not open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,Not selected,Not selected,Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Managers want to hire and promote women,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),Not Applicable,A lot,Not selected,Yes,Sometimes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Michigan,"$50,000-$74,999",East North Central,Windows Desktop / Laptop,35 - 64
4,5/10/18 7:27,5/10/18 7:31,Very masculine,Not too important,Father or father figure(s),Mother or mother figure(s),Other family members,Not selected,Not selected,Not selected,Not selected,Rarely,Rarely,Sometimes,Rarely,Rarely,Often,"Never, and not open to it","Never, and not open to it",Rarely,"Never, and not open to it","Never, and not open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not employed-retired,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Always,It?s the right thing to do,Not selected,Not selected,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No answer,Married,Not selected,"Yes, one or more children 18 or older",Not selected,No answer,White,Some college,Indiana,"$50,000-$74,999",East North Central,Windows Desktop / Laptop,65 and up
5,5/10/18 7:35,5/10/18 7:42,Very masculine,Very important,Not selected,Not selected,Other family members,Not selected,Not selected,Not selected,Yes,Sometimes,Rarely,"Never, and not open to it","Never, but open to it","Never, but open to it",Sometimes,"Never, and not open to it",Often,Rarely,"Never, but open to it",Sometimes,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,Not Applicable,A lot,Yes,Not selected,Always,Not selected,Not selected,Not selected,"Societal expectations, even though you don?t always think you should have to pay",Not selected,Not selected,Not selected,Not selected,Ask for a verbal confirmation of consent,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Never married,Not selected,Not selected,No children,Straight,White,College graduate,Ohio,"$50,000-$74,999",East North Central,Windows Desktop / Laptop,35 - 64
6,5/10/18 8:25,5/10/18 8:34,Very masculine,Somewhat important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,Yes,"Never, but open to it",Sometimes,Sometimes,Rarely,"Never, but open to it",Often,"Never, and not open to it",Sometimes,Often,"Never, but open to it","Never, and not open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),Not selected,Not selected,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Confronted the accused person,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not Applicable,Only a little,Not selected,Not selected,Always,It?s the right thing to do,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Ask for a verbal confirmation of consent,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Post graduate degree,Indiana,"$200,000+",East North Central,Windows Desktop / Laptop,65 and up
7,5/10/18 8:29,5/10/18 8:41,Somewhat masculine,Not too important,Father or father figure(s),Mother or mother figure(s),Other family members,Not selected,Friends,Not selected,Not selected,Sometimes,Sometimes,"Never, and not open to it",Rarely,Rarely,Rarely,"Never, and not open to it",Sometimes,Sometimes,"Never, and not open to it",Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Reached out to the victim to offer support,Not selected,Not selected,Not selected,Not Applicable,Nothing at all,Not Applicable,Yes,Sometimes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Never married,Not selected,"Yes, one or more children 18 or older",Not selected,Gay,Other,Post graduate degree,Hawaii,"$25,000-$49,999",West North Central,Windows Desktop / Laptop,18 - 34
8,5/10/18 10:04,5/10/18 10:11,Somewhat masculine,Somewhat important,Father or father figure(s),Not selected,Not selected,Pop culture,Friends,Not selected,Yes,Rarely,Rarely,"Never, and not open to it","Never, but open to it","Never, and not open to it",Often,"Never, and not open to it",Sometimes,Sometimes,"Never, but open to it",Rarely,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not employed-retired,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Often,Not selected,Not selected,Not selected,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",You try to pay to see if the other person will offer to share in the cost,Not selected,Read their physical body language to see if they are interested,Not selected,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,Yes,Married,Not selected,Not selected,No children,Straight,White,College graduate,New York,"$150,000-$174,999",Middle Atlantic,Windows Desktop / Laptop,65 and up
9,5/10/18 11:00,5/10/18 11:07,Very masculine,Not at all important,Father or father figure(s),Not selected,Not selected,Not selected,Friends,Not selected,Not selected,Sometimes,Sometimes,Sometimes,Sometimes,"Never, but open to it",Often,"Never, and not open to it",Often,Sometimes,"Never, and not open to it",Rarely,Not selected,Your weight,Your hair or hairline,Not selected,Not selected,Not selected,Sexual performance or amount of sex,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,Not Applicable,Some,Not selected,Not selected,Always,It?s the right thing to do,Not selected,You feel good about being the one who pays,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Not selected,Make a physical move to see how they react,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Married,"Yes, one or more children under 18",Not selected,Not selected,Straight,Hispanic,Some college,California,"$100,000-$124,999",Pacific,iOS Phone / Tablet,35 - 64
10,5/11/18 12:36,5/11/18 12:43,Somewhat masculine,Somewhat important,Father or father figure(s),Not selected,Not selected,Pop culture,Not selected,Other (please specify),Not selected,Sometimes,Rarely,"Never, and not open to it",Rarely,"Never, and not open to it",Often,"Never, and not open to it",Often,Rarely,"Never, but open to it",Sometimes,Not selected,Your weight,Not selected,Your physique,Not selected,Your clothing or style,Sexual performance or amount of sex,Not selected,Your physical health,Not selected,Not selected,Not selected,"Employed, working full-time",Not selected,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected,Not selected,Greater risk of being accused of sexual harassment,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,Not Applicable,Some,Not selected,Yes,Always,It?s the right thing to do,Not selected,You feel good about being the one who pays,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",Not selected,Not selected,Not selected,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Married,Not selected,Not selected,No children,Straight,White,Post graduate degree,Oregon,"$150,000-$174,999",Pacific,iOS Phone / Tablet,35 - 64
11,5/11/18 3:07,5/11/18 3:16,Very masculine,Somewhat important,Father or father figure(s),Mother or mother figure(s),Other family members,Pop culture,Friends,Other (please specify),Not selected,Sometimes,Rarely,Rarely,Rarely,"Never, but open to it",Sometimes,"Never, and not open to it",Rarely,Rarely,Rarely,"Never, but open to it",Not selected,Your weight,Not selected,Your physique,Appearance of your genitalia,Not selected,Sexual performance or amount of sex,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Managers want to hire and promote women,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Did not respond at all,Not selected,Not selected,You weren?t sure it was sexual harassment,Some,Not selected,Yes,Always,It?s the right thing to do,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Read their physical body language to see if they are interested,Not selected,Make a physical move to see how they react,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Wondered whether you pushed a partner too far in a past sexual encounter.,Not selected,Not selected,Not selected,Not selected,Married,"Yes, one or more children under 18","Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Michigan,"$100,000-$124,999",East North Central,Windows Desktop / Laptop,35 - 64
12,5/11/18 5:18,5/11/18 5:33,Somewhat masculine,Not too important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,Yes,"Never, but open to it",Sometimes,Often,Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Sometimes,Rarely,Sometimes,Sometimes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Not employed, NOT looking for work",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Often,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),Read their physical body language to see if they are interested,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Married,Not selected,Not selected,No children,Straight,White,Some college,South Carolina,"$25,000-$49,999",South Atlantic,Other,35 - 64
13,5/11/18 5:50,5/11/18 5:53,Very masculine,Somewhat important,Father or father figure(s),Not selected,Other family members,Not selected,Not selected,Not selected,Not selected,Sometimes,Sometimes,"Never, but open to it","Never, but open to it","Never, and not open to it",Often,"Never, and not open to it",Sometimes,Sometimes,"Never, but open to it",Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Not employed, NOT looking for work",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not selected,Sometimes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Read their physical body language to see if they are interested,Not selected,Make a physical move to see how they react,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Married,Not selected,Not selected,No children,Straight,White,College graduate,Florida,"$125,000-$149,999",South Atlantic,MacOS Desktop / Laptop,35 - 64
14,5/11/18 5:51,5/11/18 6:21,Very masculine,Very important,Not selected,Not selected,Not selected,Not selected,Friends,Other (please specify),Yes,Often,Sometimes,Sometimes,Rarely,"Never, and not open to it","Never, but open to it","Never, and not open to it",Often,Often,Rarely,Sometimes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,"Employed, working full-time",Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Managers want to hire and promote women,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,Not Applicable,Nothing at all,Not Applicable,Yes,Always,Not selected,Not selected,Not selected,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,It isn?t always clear how to gauge someone?s interest,Not selected,Wondered whether you pushed a partner too far in a past sexual encounter.,Talked with a friend or friends about whether you pushed a partner too far.,Not selected,Not selected,Yes,Married,"Yes, one or more children under 18",Not selected,Not selected,Straight,Black,Some college,California,"$10,000-$24,999",Not Applicable,Android Phone / Tablet,18 - 34
15,5/11/18 6:26,5/11/18 6:30,Not at all masculine,Not at all important,Father or father figure(s),Not selected,Not selected,Pop culture,Not selected,Not selected,Yes,"Never, but open to it",Sometimes,Sometimes,Often,"Never, and not open to it","Never, and not open to it",Rarely,"Never, and not open to it","Never, and not open to it",Often,Often,Not selected,Not selected,Your hair or hairline,Your physique,Appearance of your genitalia,Not selected,Not selected,Your mental health,Your physical health,Not selected,Not selected,Not selected,"Not employed, student",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not selected,Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not selected,Not selected,Not selected,Not selected,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Never married,Not selected,Not selected,No children,Straight,White,High school or G.E.D.,Massachusetts,Prefer not to answer,New England,MacOS Desktop / Laptop,18 - 34
16,5/11/18 8:17,5/11/18 8:23,Somewhat masculine,Somewhat important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Never, but open to it",Rarely,Sometimes,Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Sometimes,Often,"Never, but open to it",Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,"Not employed, NOT looking for work",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,No answer,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not selected,Ask for a verbal confirmation of consent,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Post graduate degree,West Virginia,Prefer not to answer,South Atlantic,MacOS Desktop / Laptop,65 and up
17,5/11/18 8:45,5/11/18 8:51,Somewhat masculine,Not too important,Father or father figure(s),Not selected,Not selected,Pop culture,Not selected,Not selected,Yes,Sometimes,Often,Rarely,Sometimes,Rarely,Sometimes,"Never, but open to it",Rarely,Sometimes,Often,Often,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Not selected,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify),Not selected,Greater risk of being accused of sexual harassment,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,Not Applicable,Some,Not selected,Yes,Sometimes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not selected,Ask for a verbal confirmation of consent,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Married,"Yes, one or more children under 18",Not selected,Not selected,Bisexual,White,Post graduate degree,Minnesota,"$50,000-$74,999",West North Central,Windows Desktop / Laptop,35 - 64
18,5/11/18 8:52,5/11/18 9:03,Somewhat masculine,Not too important,Father or father figure(s),Not selected,Other family members,Pop culture,Not selected,Not selected,Yes,"Never, but open to it",Rarely,Rarely,Sometimes,"Never, and not open to it",Often,"Never, and not open to it",Often,"Never, but open to it","Never, but open to it",Sometimes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Sexual performance or amount of sex,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,Not Applicable,A lot,Not selected,Not selected,Often,Not selected,Not selected,You feel good about being the one who pays,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Not selected,Not selected,Not selected,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Other (please specify),Not selected,Not selected,Not selected,None of the above,Not selected,Married,Not selected,Not selected,No children,Straight,White,College graduate,Kansas,"$100,000-$124,999",West North Central,Windows Desktop / Laptop,35 - 64
19,5/11/18 9:32,5/11/18 9:45,Very masculine,Somewhat important,Not selected,Mother or mother figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,Sometimes,Sometimes,"Never, but open to it",No answer,"Never, and not open to it",Often,"Never, and not open to it",Often,Sometimes,"Never, but open to it","Never, but open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,"Employed, working part-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,Not Applicable,Some,Not selected,Not selected,Often,It?s the right thing to do,Not selected,Not selected,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Not selected,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Widowed,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Florida,"$50,000-$74,999",South Atlantic,Windows Desktop / Laptop,65 and up
20,5/11/18 10:11,5/11/18 10:16,Somewhat masculine,Somewhat important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Never, but open to it","Never, but open to it","Never, and not open to it",Rarely,"Never, but open to it",Sometimes,"Never, and not open to it",Often,Often,"Never, and not open to it","Never, and not open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,"Not employed, looking for work",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Always,Not selected,Not selected,You feel good about being the one who pays,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Not selected,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Never married,Not selected,Not selected,No children,Straight,Black,High school or G.E.D.,California,"$10,000-$24,999",Pacific,Windows Desktop / Laptop,35 - 64
21,5/11/18 10:15,5/11/18 10:19,Not very masculine,Somewhat important,Father or father figure(s),Mother or mother figure(s),Other family members,Pop culture,Friends,Not selected,Not selected,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,"Never, and not open to it",Often,"Never, but open to it","Never, and not open to it",Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Sexual performance or amount of sex,Your mental health,Your physical health,Not selected,Not selected,Not selected,Not employed-retired,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Sometimes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Divorced,Not selected,Not selected,No children,Straight,Black,Some college,Oregon,"$10,000-$24,999",Pacific,Other,65 and up
22,5/11/18 10:45,5/11/18 10:50,Somewhat masculine,Somewhat important,Not selected,Not selected,Other family members,Not selected,Friends,Not selected,Yes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,"Never, and not open to it","Never, and not open to it",Often,Often,Rarely,Rarely,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Did not respond at all,Not selected,Not selected,You weren?t sure it was sexual harassment,A lot,Not selected,Yes,Often,Not selected,You make more money than your date,Not selected,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Not selected,Make a physical move to see how they react,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Married,"Yes, one or more children under 18",Not selected,Not selected,Straight,White,Post graduate degree,Utah,Prefer not to answer,Mountain,Windows Desktop / Laptop,35 - 64
