,StartDate,EndDate,How masculine do you feel?,How important is it to you that others see you as masculine?,Where have you gotten ideas about what it means to be a good man?- Father or father figure(s),Mother or Mother figure(s),Other family members,Pop culture,Friends,Other,Does society puts pressure on men?,Ask for - Professional Advice?,Personal advice?,Express physical affection to male friends?,Cry?,Get in a physical fight?,Have sexual relations (women)?,Have sexual relations (men)?,Watch sports?,Workout?,See a therapist?,Feel lonely or isolated?,Worried about your - Height,Weight,Hair or Hairline,Physique,Appearance of genitalia,Clothing or style,Sexual performance or amount of sex,Mental health,Physical health,Finances,Ability to provide your family,None of the above,Employment Status,Advantages as a man - more money?,taken more seriously,more choice,More promotion/prof. development opportunities,Praised often,More support from their managers,Other-A,None of the above-A,Disadvantages to be a man- Managers want more women?,Risk of being accussed sexually,Risk of being sexist/racist,Other-B,None of the above-B,Response on sexual harrassment incident- Confronted or accussed the person,Contacted the HR department,Contacted the manager,Reached out to the victim,Didn't respond at all,Never witnessed,Other-C,Reason you didn't respond,If employed- how much have you heard of #MeToo movement?,If heard of #MeToo- Noticed any behavioural change at work?,Expected to make the first move?,How often you try to pays on a date?,Reason - It's the right thing to do,Makes more money than your date,Feels good,Societal expectations,"You asked the person out, that's why",Try to pay & see if she/he pays,Other-D,Physical intimation- Read their physical body language,Ask for consent,Make a physical move to see how they react,Every situation is different,Isn't clear to gauge,Other-E,What you've done in past 12 yrs?- pushing partner too far in sexual encounter,Talked with friends whether you pushed a partner too far,contacted a past sexual partner to ask,None of the above-C,Have you changed your behaviour in romantic relationships in the wake of #MeToo movement?,Maritial Status,"Any children?- Yes, one or more, under 18","Yes, one or more children, 18+",No children,Sexual orientation,Are you?,Last grade of school,State,Annual Income,Region,Current operating system,Age group
739,5/18/18 5:21,5/18/18 5:30,Very masculine,Not too important,Father or father figure(s),Mother or mother figure(s),Not selected,Not selected,Not selected,Other (please specify),Yes,Sometimes,Sometimes,Rarely,Rarely,"Never, but open to it",Often,"Never, and not open to it","Never, and not open to it","Never, but open to it","Never, but open to it",Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Sexual performance or amount of sex,Not selected,Not selected,Not selected,"Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,Not Applicable,Nothing at all,Not Applicable,Yes,Always,It?s the right thing to do,Not selected,Not selected,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Not selected,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Iowa,"$25,000-$49,999",West North Central,Windows Desktop / Laptop,35 - 64
740,5/18/18 5:22,5/18/18 5:27,Somewhat masculine,Not at all important,Not selected,Not selected,Not selected,Not selected,Friends,Not selected,Not selected,Rarely,No answer,Often,Rarely,"Never, and not open to it",Often,"Never, and not open to it",Sometimes,Often,No answer,Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,Not selected,Not selected,Not selected,Not employed-retired,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not selected,Sometimes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),Not selected,Not selected,Not selected,None of the above,Not selected,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Post graduate degree,Florida,"$75,000-$99,999",South Atlantic,iOS Phone / Tablet,65 and up
741,5/18/18 5:24,5/18/18 5:39,Somewhat masculine,Very important,Father or father figure(s),Mother or mother figure(s),Other family members,Not selected,Friends,Not selected,Yes,Sometimes,Sometimes,Rarely,Rarely,"Never, and not open to it",Often,"Never, and not open to it",Sometimes,Sometimes,Rarely,Rarely,Not selected,Your weight,Not selected,Not selected,Appearance of your genitalia,Your clothing or style,Not selected,Not selected,Not selected,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,Not employed-retired,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not selected,Often,It?s the right thing to do,Not selected,Not selected,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,Black,Post graduate degree,Georgia,"$25,000-$49,999",South Atlantic,Windows Desktop / Laptop,35 - 64
742,5/18/18 5:25,5/18/18 5:31,Very masculine,Somewhat important,Not selected,Not selected,Other family members,Not selected,Not selected,Not selected,Yes,Sometimes,Rarely,Rarely,Rarely,"Never, and not open to it",Often,"Never, and not open to it",Sometimes,Sometimes,"Never, but open to it",Rarely,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not employed-retired,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Always,It?s the right thing to do,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Married,Not selected,Not selected,No children,Straight,White,Post graduate degree,Vermont,Prefer not to answer,New England,Windows Desktop / Laptop,65 and up
743,5/18/18 5:27,5/18/18 5:33,Somewhat masculine,Somewhat important,Not selected,Not selected,Not selected,Pop culture,Not selected,Not selected,Yes,Rarely,Sometimes,Rarely,Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Sometimes,Sometimes,"Never, but open to it",Sometimes,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Men make more money,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,Not Applicable,Only a little,Not selected,Not selected,Sometimes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Read their physical body language to see if they are interested,Not selected,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Married,"Yes, one or more children under 18",Not selected,Not selected,Straight,White,Post graduate degree,California,"$25,000-$49,999",Pacific,Windows Desktop / Laptop,35 - 64
744,5/18/18 5:26,5/18/18 5:40,No answer,No answer,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,No answer,Sometimes,Often,Sometimes,Sometimes,"Never, and not open to it",No answer,No answer,Often,No answer,"Never, but open to it","Never, but open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,"Not employed, NOT looking for work",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No answer,Sometimes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Widowed,Not selected,Not selected,No children,Gay,White,College graduate,Colorado,"$25,000-$49,999",Mountain,iOS Phone / Tablet,35 - 64
745,5/18/18 5:30,5/18/18 5:35,Somewhat masculine,Very important,Father or father figure(s),Not selected,Other family members,Pop culture,Not selected,Not selected,Not selected,Sometimes,Rarely,Sometimes,"Never, but open to it","Never, and not open to it",Sometimes,"Never, and not open to it",Often,Often,"Never, but open to it",Rarely,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Not selected,Not selected,Your physical health,Not selected,Not selected,Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,Not Applicable,Some,Yes,Yes,Always,Not selected,Not selected,You feel good about being the one who pays,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Not selected,Make a physical move to see how they react,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Post graduate degree,Wisconsin,"$150,000-$174,999",East North Central,Windows Desktop / Laptop,65 and up
746,5/18/18 5:31,5/18/18 5:36,Somewhat masculine,Not too important,Father or father figure(s),Not selected,Other family members,Pop culture,Friends,Not selected,Yes,Sometimes,Sometimes,Sometimes,Rarely,"Never, and not open to it",Often,"Never, and not open to it",Sometimes,Rarely,"Never, and not open to it",Rarely,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working part-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,Not Applicable,Some,Not selected,Yes,No answer,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No answer,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Post graduate degree,Pennsylvania,"$100,000-$124,999",Middle Atlantic,Windows Desktop / Laptop,35 - 64
747,5/18/18 5:31,5/18/18 6:02,Very masculine,Not too important,Not selected,Mother or mother figure(s),Not selected,Not selected,Not selected,Not selected,Yes,Sometimes,"Never, but open to it",Often,"Never, but open to it","Never, but open to it",Sometimes,"Never, and not open to it",Often,Rarely,"Never, and not open to it",Sometimes,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Employed, working full-time",Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,Not Applicable,A lot,Not selected,No answer,Always,It?s the right thing to do,Not selected,Not selected,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Other (please specify),Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Divorced,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,North Carolina,Prefer not to answer,South Atlantic,Windows Desktop / Laptop,65 and up
748,5/18/18 5:31,5/18/18 5:37,Somewhat masculine,Not too important,Not selected,Not selected,Not selected,Not selected,Friends,Not selected,Not selected,Rarely,Rarely,"Never, and not open to it",Rarely,"Never, but open to it",Rarely,"Never, and not open to it",Often,Often,"Never, and not open to it","Never, and not open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,Not selected,Not selected,Not selected,Not employed-retired,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not selected,Always,It?s the right thing to do,Not selected,Not selected,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Not selected,Not selected,Not selected,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Some college,Montana,"$25,000-$49,999",Mountain,Windows Desktop / Laptop,65 and up
